;kamera1;kamera2;kamera1_koord;kamera2_koord;distance;duration
7953;Gy1B;Gy14B;47.474802619374, 18.852435494437;47.018953622415, 19.59270077956;81290;2751
7954;Gy1B;Gy14J;47.474802619374, 18.852435494437;47.018760105536, 19.59289269823;81316;2752
7955;Gy1B;Gy15B;47.474802619374, 18.852435494437;46.866126652938, 19.645370179317;104620;3570
7956;Gy1B;Gy15J;47.474802619374, 18.852435494437;46.866126652938, 19.645370179317;104620;3570
7957;Gy1B;Gy16B;47.474802619374, 18.852435494437;46.254056752729, 20.037780560567;175789;5751
7958;Gy1B;Gy16J;47.474802619374, 18.852435494437;46.254289780273, 20.037809455218;175763;5750
7959;Gy1B;Gy17B;47.474802619374, 18.852435494437;47.354805101314, 18.903312087371;21659;791
7960;Gy1B;Gy17J;47.474802619374, 18.852435494437;47.354584280523, 18.903248756673;21684;791
7961;Gy1B;Gy18B;47.474802619374, 18.852435494437;47.062438439262, 18.883476038175;57918;1889
7962;Gy1B;Gy18J;47.474802619374, 18.852435494437;47.062224216813, 18.883576090608;57943;1890
7963;Gy1B;Gy19B;47.474802619374, 18.852435494437;46.445983362048, 18.706391141658;132945;4130
7964;Gy1B;Gy19J;47.474802619374, 18.852435494437;46.445546354166, 18.706516762083;132995;4132
7965;Gy1B;Gy20B;47.474802619374, 18.852435494437;46.063865148399, 18.579774412582;198540;6248
7966;Gy1B;Gy20J;47.474802619374, 18.852435494437;46.063700607621, 18.579535592077;198515;6248
7967;Gy1B;Gy21B;47.474802619374, 18.852435494437;47.423027828361, 18.886551751725;8914;379
7968;Gy1B;Gy21J;47.474802619374, 18.852435494437;47.343748133722, 18.791711071512;22671;818
7969;Gy1B;Gy22B;47.474802619374, 18.852435494437;47.031256467729, 18.270258885827;72492;2325
7970;Gy1B;Gy22J;47.474802619374, 18.852435494437;47.031397673561, 18.270531556193;72466;2324
7971;Gy1B;Gy23B;47.474802619374, 18.852435494437;46.810132410668, 17.83695083105;122465;3951
7972;Gy1B;Gy23J;47.474802619374, 18.852435494437;46.881273600414, 17.985593118956;101014;3210
7973;Gy1B;Gy24B;47.474802619374, 18.852435494437;46.682081838166, 17.370049702348;163056;5234
7974;Gy1B;Gy24J;47.474802619374, 18.852435494437;46.685347295949, 17.387656451782;164454;5279
7975;Gy1B;Gy25B;47.474802619374, 18.852435494437;46.44171667261, 16.810656899812;214984;6888
7976;Gy1B;Gy25J;47.474802619374, 18.852435494437;46.441965611122, 16.811198315858;214934;6886
7977;Gy1B;Gy26B;47.474802619374, 18.852435494437;46.908495716101, 18.939777323335;78666;2573
7978;Gy1B;Gy26J;47.474802619374, 18.852435494437;46.908565366842, 18.939424208168;78638;2572
7979;Gy1B;Gy27J;47.474802619374, 18.852435494437;46.351813245779, 18.886396647804;152722;4806
7980;Gy1B;Gy28B;47.474802619374, 18.852435494437;47.246161, 18.649078;48798;1678
7981;Gy1B;Gy28J;47.474802619374, 18.852435494437;47.246194, 18.648449;34216;1131
7982;Gy1B;Gy29B;47.474802619374, 18.852435494437;47.690797, 17.522883;141627;4814
7983;Gy1B;Gy30B;47.474802619374, 18.852435494437;47.615748, 19.346989;71182;2515
7984;Gy1B;Gy31B;47.474802619374, 18.852435494437;47.671580, 19.634506;94370;3244
7985;Gy1B;Gy31J;47.474802619374, 18.852435494437;47.671580, 19.634506;94370;3244
7986;Gy1B;Gy32B;47.474802619374, 18.852435494437;47.361165, 19.219698;38189;1412
7987;Gy1B;Gy32J;47.474802619374, 18.852435494437;47.362003, 19.222118;35072;1256
7988;Gy1B;Gy33B;47.474802619374, 18.852435494437;47.598917, 19.126993;34624;2284
7989;Gy1B;Gy33J;47.474802619374, 18.852435494437;47.588365, 19.143022;34385;2267
7990;Gy1B;Gy34B;47.474802619374, 18.852435494437;47.9170992883, 17.1225847247;165161;5773
7991;Gy1B;Gy34J;47.474802619374, 18.852435494437;47.9105799674, 17.1336359154;158329;5323
7992;Gy1B;Gy35B;47.474802619374, 18.852435494437;46.2165172448, 20.7363822270;232339;8317
7993;Gy1B;Gy35J;47.474802619374, 18.852435494437;46.2154648690, 20.7062448209;224006;7423
7994;Gy1B;Gy36B;47.474802619374, 18.852435494437;46.5109208466, 16.5523413490;263287;8630
7995;Gy1B;Gy36J;47.474802619374, 18.852435494437;46.5110973558, 16.5519989224;240420;7752
7996;Gy1B;Gy37B;47.474802619374, 18.852435494437;47.6932, 19.1723;57625;3133
7997;Gy1B;Gy37J;47.474802619374, 18.852435494437;47.643, 19.1646;41720;2542
7998;Gy1J;F1;47.471964836026, 18.858080126141;47.736861467104, 18.369289524965;71939;3124
7999;Gy1J;F2;47.471964836026, 18.858080126141;47.725765423977, 18.046694497329;85685;3176
8000;Gy1J;F3;47.471964836026, 18.858080126141;47.884396938888, 17.241676802774;152831;5484
8001;Gy1J;F4;47.471964836026, 18.858080126141;47.934507652422, 19.139606641347;81369;4339
8002;Gy1J;F5;47.471964836026, 18.858080126141;48.437441677622, 21.183738300599;268504;8860
8003;Gy1J;F6;47.471964836026, 18.858080126141;47.152434273387, 20.196192733715;124585;4319
8004;Gy1J;F7;47.471964836026, 18.858080126141;48.343852343168, 22.129595653448;336270;11459
8005;Gy1J;F8;47.471964836026, 18.858080126141;46.231269471029, 20.081542735727;182513;6112
8006;Gy1J;F9;47.471964836026, 18.858080126141;45.967191886124, 17.524083222114;232241;8780
8007;Gy1J;F10;47.471964836026, 18.858080126141;46.437667890627, 16.747927021544;219987;7254
8008;Gy1J;F11;47.471964836026, 18.858080126141;46.974156304231, 16.379539316509;254396;9183
8009;Gy1J;F12;47.471964836026, 18.858080126141;47.82243068262, 18.98717170425;73741;3961
8010;Gy1J;F13;47.471964836026, 18.858080126141;47.683196594979, 18.097306861786;73787;2552
8011;Gy1J;F14;47.471964836026, 18.858080126141;47.745363022052, 17.647400881226;109333;3860
8012;Gy1J;F15;47.471964836026, 18.858080126141;48.031849194332, 19.807710583946;144270;5465
8013;Gy1J;F16;47.471964836026, 18.858080126141;48.25793719325, 20.350423487823;225497;9595
8014;Gy1J;F17;47.471964836026, 18.858080126141;48.293129223365, 20.448498019056;233200;9742
8015;Gy1J;F18;47.471964836026, 18.858080126141;47.60481625158, 20.779148307593;190374;7023
8016;Gy1J;F19;47.471964836026, 18.858080126141;47.913879672699, 21.073258954162;217052;7235
