kamera1;kamera2;kamera1_koord;kamera2_koord
F13;F8;47.683196594979, 18.097306861786;46.231269471029, 20.081542735727
F13;F9;47.683196594979, 18.097306861786;45.967191886124, 17.524083222114
F13;Gy10B;47.683196594979, 18.097306861786;48.050402819184, 20.851648270691
F13;Gy13J;47.683196594979, 18.097306861786;47.310726596496, 19.271736511801
F13;Gy14B;47.683196594979, 18.097306861786;47.018953622415, 19.59270077956
F13;Gy14J;47.683196594979, 18.097306861786;47.018760105536, 19.59289269823
F13;Gy15B;47.683196594979, 18.097306861786;46.866126652938, 19.645370179317
F13;Gy15J;47.683196594979, 18.097306861786;46.866126652938, 19.645370179317
F13;Gy17B;47.683196594979, 18.097306861786;47.354805101314, 18.903312087371
F13;Gy17J;47.683196594979, 18.097306861786;47.354584280523, 18.903248756673
F13;Gy18B;47.683196594979, 18.097306861786;47.062438439262, 18.883476038175
F13;Gy18J;47.683196594979, 18.097306861786;47.062224216813, 18.883576090608
F13;Gy19B;47.683196594979, 18.097306861786;46.445983362048, 18.706391141658
F13;Gy19J;47.683196594979, 18.097306861786;46.445546354166, 18.706516762083
F13;Gy1B;47.683196594979, 18.097306861786;47.474802619374, 18.852435494437
F13;Gy1J;47.683196594979, 18.097306861786;47.471964836026, 18.858080126141
F13;Gy20B;47.683196594979, 18.097306861786;46.063865148399, 18.579774412582
F13;Gy20J;47.683196594979, 18.097306861786;46.063700607621, 18.579535592077
F13;Gy21B;47.683196594979, 18.097306861786;47.423027828361, 18.886551751725
F13;Gy21J;47.683196594979, 18.097306861786;47.343748133722, 18.791711071512
F13;Gy22B;47.683196594979, 18.097306861786;47.031256467729, 18.270258885827
F13;Gy22J;47.683196594979, 18.097306861786;47.031397673561, 18.270531556193
F13;Gy23B;47.683196594979, 18.097306861786;46.810132410668, 17.83695083105
F13;Gy23J;47.683196594979, 18.097306861786;46.881273600414, 17.985593118956
F13;Gy24B;47.683196594979, 18.097306861786;46.682081838166, 17.370049702348
F13;Gy24J;47.683196594979, 18.097306861786;46.685347295949, 17.387656451782
F13;Gy25J;47.683196594979, 18.097306861786;46.441965611122, 16.811198315858
F13;Gy26B;47.683196594979, 18.097306861786;46.908495716101, 18.939777323335
F13;Gy26J;47.683196594979, 18.097306861786;46.908565366842, 18.939424208168
F13;Gy27J;47.683196594979, 18.097306861786;46.351813245779, 18.886396647804
F13;Gy28B;47.683196594979, 18.097306861786;47.246161, 18.649078
F13;Gy28J;47.683196594979, 18.097306861786;47.246194, 18.648449
F13;Gy29B;47.683196594979, 18.097306861786;47.690797, 17.522883
F13;Gy2B;47.683196594979, 18.097306861786;47.612770144674, 18.353556331481
F13;Gy2J;47.683196594979, 18.097306861786;47.683114431378, 18.003415637292
F13;Gy30B;47.683196594979, 18.097306861786;47.615748, 19.346989
F13;Gy31B;47.683196594979, 18.097306861786;47.671580, 19.634506
F13;Gy31J;47.683196594979, 18.097306861786;47.671580, 19.634506
F13;Gy32B;47.683196594979, 18.097306861786;47.361165, 19.219698
F13;Gy32J;47.683196594979, 18.097306861786;47.362003, 19.222118
F13;Gy34B;47.683196594979, 18.097306861786;47.9170992883, 17.1225847247
F13;Gy34J;47.683196594979, 18.097306861786;47.9105799674, 17.1336359154
F13;Gy35J;47.683196594979, 18.097306861786;46.2154648690, 20.7062448209
F13;Gy36J;47.683196594979, 18.097306861786;46.5110973558, 16.5519989224
F13;Gy37J;47.683196594979, 18.097306861786;47.643, 19.1646
F13;Gy3B;47.683196594979, 18.097306861786;47.684437713539, 17.835527389107
F13;Gy3J;47.683196594979, 18.097306861786;47.6844259551, 17.83587320896
F13;Gy4B;47.683196594979, 18.097306861786;47.878391089477, 17.202565947927
F13;Gy6J;47.683196594979, 18.097306861786;47.593511108609, 19.210992980928
F13;Gy7B;47.683196594979, 18.097306861786;47.731817779639, 19.96258985111
F13;Gy7J;47.683196594979, 18.097306861786;47.732635548066, 19.949321966416
F13;Gy8J;47.683196594979, 18.097306861786;47.861450724727, 21.043855642447
F14;F1;47.745363022052, 17.647400881226;47.736861467104, 18.369289524965
F14;F12;47.745363022052, 17.647400881226;47.82243068262, 18.98717170425
F14;F13;47.745363022052, 17.647400881226;47.683196594979, 18.097306861786
F14;F14;47.745363022052, 17.647400881226;47.745363022052, 17.647400881226
F14;F15;47.745363022052, 17.647400881226;48.031849194332, 19.807710583946
F14;F17;47.745363022052, 17.647400881226;48.293129223365, 20.448498019056
F14;F2;47.745363022052, 17.647400881226;47.725765423977, 18.046694497329
F14;F20;47.745363022052, 17.647400881226;48.376345640262, 21.633176054916
F14;F3;47.745363022052, 17.647400881226;47.884396938888, 17.241676802774
F14;F30;47.745363022052, 17.647400881226;46.803526155586, 18.928004380753
F14;F32;47.745363022052, 17.647400881226;46.201513590529, 18.820681199919
F14;F33;47.745363022052, 17.647400881226;45.971233620929, 18.673734618994
F14;F35;47.745363022052, 17.647400881226;46.058445164555, 17.448098903741
F14;F37;47.745363022052, 17.647400881226;47.635056880418, 16.652330516763
F14;F38;47.745363022052, 17.647400881226;46.811901582638, 16.565857119342
F14;F39;47.745363022052, 17.647400881226;47.288863417887, 16.610039047667
F14;F4;47.745363022052, 17.647400881226;47.934507652422, 19.139606641347
F14;F40;47.745363022052, 17.647400881226;47.245496499058, 16.534248410882
F14;F41;47.745363022052, 17.647400881226;47.910361887547, 17.251715607309
F14;F45BJ;47.745363022052, 17.647400881226;47.11432337191, 17.848645761646
F14;F46B;47.745363022052, 17.647400881226;47.653403571486, 17.416396700878
F14;F46J;47.745363022052, 17.647400881226;47.653506839605, 17.416740354468
F14;F47B;47.745363022052, 17.647400881226;47.297160417543, 16.832093255331
F14;F47J;47.745363022052, 17.647400881226;47.297002459483, 16.831835285078
F14;F48;47.745363022052, 17.647400881226;48.0530521654, 19.0114679159
F14;F49;47.745363022052, 17.647400881226;48.1426427598, 19.8152150078
F14;F50;47.745363022052, 17.647400881226;48.0690258518, 19.2623480794
F14;F51;47.745363022052, 17.647400881226;48.0794121975, 19.3191435939
F14;F55;47.745363022052, 17.647400881226;47.3981145129, 19.3601850460
F14;F56;47.745363022052, 17.647400881226;47.4059475850, 16.5285647459
F14;F57;47.745363022052, 17.647400881226;47.2476159053, 16.4811625856
F14;F59;47.745363022052, 17.647400881226;47.142844, 18.531573
F14;F9;47.745363022052, 17.647400881226;45.967191886124, 17.524083222114
F14;Gy10B;47.745363022052, 17.647400881226;48.050402819184, 20.851648270691
F14;Gy17B;47.745363022052, 17.647400881226;47.354805101314, 18.903312087371
F14;Gy18B;47.745363022052, 17.647400881226;47.062438439262, 18.883476038175
F14;Gy19B;47.745363022052, 17.647400881226;46.445983362048, 18.706391141658
F14;Gy19J;47.745363022052, 17.647400881226;46.445546354166, 18.706516762083
F14;Gy1B;47.745363022052, 17.647400881226;47.474802619374, 18.852435494437
F14;Gy1J;47.745363022052, 17.647400881226;47.471964836026, 18.858080126141
F14;Gy20B;47.745363022052, 17.647400881226;46.063865148399, 18.579774412582
F14;Gy20J;47.745363022052, 17.647400881226;46.063700607621, 18.579535592077
F14;Gy21B;47.745363022052, 17.647400881226;47.423027828361, 18.886551751725
F14;Gy22B;47.745363022052, 17.647400881226;47.031256467729, 18.270258885827
F14;Gy22J;47.745363022052, 17.647400881226;47.031397673561, 18.270531556193
F14;Gy23B;47.745363022052, 17.647400881226;46.810132410668, 17.83695083105
F14;Gy23J;47.745363022052, 17.647400881226;46.881273600414, 17.985593118956
F14;Gy24B;47.745363022052, 17.647400881226;46.682081838166, 17.370049702348
F14;Gy24J;47.745363022052, 17.647400881226;46.685347295949, 17.387656451782
F14;Gy25J;47.745363022052, 17.647400881226;46.441965611122, 16.811198315858
F14;Gy26J;47.745363022052, 17.647400881226;46.908565366842, 18.939424208168
F14;Gy27J;47.745363022052, 17.647400881226;46.351813245779, 18.886396647804
F14;Gy28B;47.745363022052, 17.647400881226;47.246161, 18.649078
F14;Gy29B;47.745363022052, 17.647400881226;47.690797, 17.522883
F14;Gy2B;47.745363022052, 17.647400881226;47.612770144674, 18.353556331481
F14;Gy2J;47.745363022052, 17.647400881226;47.683114431378, 18.003415637292
F14;Gy32J;47.745363022052, 17.647400881226;47.362003, 19.222118
F14;Gy34B;47.745363022052, 17.647400881226;47.9170992883, 17.1225847247
F14;Gy34J;47.745363022052, 17.647400881226;47.9105799674, 17.1336359154
F14;Gy3B;47.745363022052, 17.647400881226;47.684437713539, 17.835527389107
F14;Gy3J;47.745363022052, 17.647400881226;47.6844259551, 17.83587320896
F14;Gy4B;47.745363022052, 17.647400881226;47.878391089477, 17.202565947927
F14;Gy7B;47.745363022052, 17.647400881226;47.731817779639, 19.96258985111
F15;F1;48.031849194332, 19.807710583946;47.736861467104, 18.369289524965
F15;F12;48.031849194332, 19.807710583946;47.82243068262, 18.98717170425
F15;F13;48.031849194332, 19.807710583946;47.683196594979, 18.097306861786
F15;F14;48.031849194332, 19.807710583946;47.745363022052, 17.647400881226
F15;F15;48.031849194332, 19.807710583946;48.031849194332, 19.807710583946
F15;F16;48.031849194332, 19.807710583946;48.25793719325, 20.350423487823
F15;F17;48.031849194332, 19.807710583946;48.293129223365, 20.448498019056
F15;F18;48.031849194332, 19.807710583946;47.60481625158, 20.779148307593
F15;F19;48.031849194332, 19.807710583946;47.913879672699, 21.073258954162
F15;F20;48.031849194332, 19.807710583946;48.376345640262, 21.633176054916
F15;F21;48.031849194332, 19.807710583946;48.066597247215, 21.53206912197
F15;F23;48.031849194332, 19.807710583946;47.144221988453, 21.675450249618
F15;F25;48.031849194332, 19.807710583946;46.876397341333, 20.022332770319
F15;F26;48.031849194332, 19.807710583946;46.655024556317,21.225962687052
F15;F27J;48.031849194332, 19.807710583946;46.378973739396, 20.247963372239
F15;F3;48.031849194332, 19.807710583946;47.884396938888, 17.241676802774
F15;F30;48.031849194332, 19.807710583946;46.803526155586, 18.928004380753
F15;F31;48.031849194332, 19.807710583946;46.263345770897, 19.533663359931
F15;F32;48.031849194332, 19.807710583946;46.201513590529, 18.820681199919
F15;F4;48.031849194332, 19.807710583946;47.934507652422, 19.139606641347
F15;F40;48.031849194332, 19.807710583946;47.245496499058, 16.534248410882
F15;F41;48.031849194332, 19.807710583946;47.910361887547, 17.251715607309
F15;F43;48.031849194332, 19.807710583946;46.683815901125, 20.183667378285
F15;F45BJ;48.031849194332, 19.807710583946;47.11432337191, 17.848645761646
F15;F48;48.031849194332, 19.807710583946;48.0530521654, 19.0114679159
F15;F49;48.031849194332, 19.807710583946;48.1426427598, 19.8152150078
F15;F50;48.031849194332, 19.807710583946;48.0690258518, 19.2623480794
F15;F51;48.031849194332, 19.807710583946;48.0794121975, 19.3191435939
F15;F55;48.031849194332, 19.807710583946;47.3981145129, 19.3601850460
F15;F58;48.031849194332, 19.807710583946;47.348734, 19.120951
F15;F6;48.031849194332, 19.807710583946;47.152434273387, 20.196192733715
